id gender age edr country_id nationality area area_city city_id sample_id ur1new presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year edu urban_rural state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
21150379933 1 67 1 15 15 1504 1500002021 1505177 150206521 1 1 4 1 1 NA 7 NA 1 1 2021 6 1 1500025 "sao paulo" "presidente venceslau" NA NA 0 NA 0 NA
21150125621 1 39 2 15 15 1505 1500002021 1502936 151272121 1 1 4 2 1 NA 5 NA 5 1 2021 9 1 1500016 parana ipora NA NA 0 NA 0 NA
21150274498 1 44 1 15 15 1503 1500002021 1501471 151320021 4 2 1 3 2 NA 2 NA 5 1 2021 6 2 1500011 "mato grosso" sorriso NA NA 0 NA 0 NA
21150449152 1 27 3 15 15 1504 1500002021 1504888 151295521 1 5 2 2 3 NA 6 NA 1 1 2021 12 1 1500025 "sao paulo" fartura NA NA 0 NA 0 NA
21150332599 1 39 3 15 15 1504 1500002021 1503661 151251421 1 2 1 3 3 NA 7 NA 1506 1 2021 12 1 1500019 "rio de janeiro" "rio de janeiro" 3304557 RJ 3 2011 1 10
21150087520 1 18 2 15 15 1504 1500002021 1504815 150937921 1 5 1 1 3 NA 6 NA 1 1 2021 9 1 1500025 "sao paulo" cajamar 3509205 SP 4 2018 1 3
21150297814 1 33 1 15 15 1504 1500002021 1505256 150416321 1 2 4 1 3 NA 7 NA 1 1 2021 6 1 1500025 "sao paulo" "sao bernardo do campo" 3548708 SP 4 2018 1 3
21150094717 2 66 3 15 15 1501 1500002021 1500678 150056621 1 1 4 3 2 NA 7 NA 1 1 2021 12 1 1500006 ceara fortaleza NA NA 0 NA 0 NA
21150229569 2 36 3 15 15 1501 1500002021 1500178 150002821 1 2 3 4 2 NA 5 NA 1506 1 2021 12 1 1500004 amazonas manaus NA NA 0 NA 0 NA
21150252335 1 38 3 15 15 1504 1500002021 1503661 150302321 1 1 4 2 2 NA 7 NA 5 2 2021 12 1 1500019 "rio de janeiro" "rio de janeiro" 3304557 RJ 3 2011 1 10
21150187048 1 17 2 15 15 1504 1500002021 1502115 151382321 1 4 2 2 2 NA 5 NA 5 1 2021 9 1 1500013 "minas gerais" paracatu 3147006 MG 5 2014 1 7
21150352257 1 53 2 15 15 1504 1500002021 1504820 151439221 1 5 4 4 3 NA 7 NA 5 1 2021 9 1 1500025 "sao paulo" campinas 3509502 SP 2 2015 1 6
21150264635 1 43 3 15 15 1504 1500002021 1505256 151453521 1 2 4 1 2 NA 7 NA 5 1 2021 12 1 1500025 "sao paulo" "sao bernardo do campo" 3548708 SP 4 2018 1 3
21150291402 1 52 3 15 15 1504 1500002021 1505274 150859521 1 1 2 3 3 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150253428 2 34 2 15 15 1504 1500002021 1504820 150847721 1 5 4 2 2 NA 5 NA 5 2 2021 9 1 1500025 "sao paulo" campinas 3509502 SP 2 2015 1 6
21150271308 1 25 3 15 15 1505 1500002021 1502864 150319321 1 5 3 3 3 NA 7 NA 5 1 2021 12 1 1500016 parana colombo NA NA 0 NA 0 NA
21150288116 1 30 3 15 15 1505 1500002021 1504163 150305621 3 5 4 4 2 NA 7 NA 1 5 2021 12 2 1500021 "rio grande do sul" pelotas NA NA 0 NA 0 NA
21150037517 2 59 3 15 15 1501 1500002021 1502437 150269021 1 5 1 3 3 NA 1 NA 5 1 2021 12 1 1500014 para belem NA NA 0 NA 0 NA
21150335233 2 34 3 15 15 1505 1500002021 1504542 150344321 1 4 2 2 3 NA 5 NA 1 1 2021 12 1 1500024 "santa catarina" itajai NA NA 0 NA 0 NA
21150425026 2 39 3 15 15 1503 1500002021 1501512 150034921 1 5 2 1 3 NA 7 NA 5 1 2021 12 1 1500012 "mato grosso do sul" corumba NA NA 0 NA 0 NA
21150284713 1 23 2 15 15 1503 1500002021 1500804 150921521 1 3 4 2 1 NA 7 NA 1506 1 2021 9 1 1500007 "distrito federal" brasilia 5300108 DF 6 2011 1 10
21150080224 1 48 1 15 15 1503 1500002021 1501413 150244321 1 2 3 3 2 NA 5 NA 5 1 2021 6 1 1500011 "mato grosso" "mirassol d'oeste" NA NA 0 NA 0 NA
21150289458 1 21 2 15 15 1504 1500002021 1502065 151104821 1 3 3 4 2 NA 7 NA 5 1 2021 9 1 1500013 "minas gerais" "montes claros" NA NA 0 NA 0 NA
21150084938 2 30 3 15 15 1503 1500002021 1501080 150081421 1 3 2 2 3 NA 5 NA 1 1 2021 12 1 1500009 goias "rio verde" 5218805 GO 2 2020 1 1
21150245270 1 35 2 15 15 1501 1500002021 1503246 150854221 1 1 3 3 2 NA 7 NA 5 2 2021 9 1 1500017 pernambuco ferreiros NA NA 0 NA 0 NA
21150106846 2 26 3 15 15 1504 1500002021 1503661 150979821 1 4 4 4 3 NA 3 NA 4 1 2021 12 1 1500019 "rio de janeiro" "rio de janeiro" 3304557 RJ 3 2011 1 10
21150082700 2 21 2 15 15 1501 1500002021 1502485 150918621 4 3 3 NA 3 NA 3 NA 4 1 2021 9 2 1500014 para maracana NA NA 0 NA 0 NA
21150432746 1 46 2 15 15 1504 1500002021 1503610 151399621 1 3 4 3 3 NA 5 NA 1 1 2021 9 1 1500019 "rio de janeiro" "campos dos goytacazes" NA NA 0 NA 0 NA
21150309425 2 38 2 15 15 1501 1500002021 1502531 151274821 1 3 2 3 3 NA 7 NA 5 1 2021 9 1 1500014 para santarem NA NA 0 NA 0 NA
21150196982 2 28 3 15 15 1504 1500002021 1504947 150531421 1 2 3 3 3 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" indaiatuba 3520509 SP 1 2020 1 1
21150302469 1 29 2 15 15 1505 1500002021 1503924 150837121 1 5 2 3 2 NA 7 NA 1 1 2021 9 1 1500021 "rio grande do sul" "campo bom" NA NA 0 NA 0 NA
21150430279 2 33 3 15 15 1505 1500002021 1502879 151144121 2 4 3 2 3 NA 6 NA 5 2 2021 12 1 1500016 parana curitiba NA NA 0 NA 0 NA
21150333107 2 24 3 15 15 1505 1500002021 1504542 151310821 1 1 3 2 1 NA 6 NA 1 2 2021 12 1 1500024 "santa catarina" itajai NA NA 0 NA 0 NA
21150160071 2 44 3 15 15 1501 1500002021 1504412 150694721 4 1 3 3 3 NA 7 NA 5 1 2021 12 2 1500023 roraima pacaraima NA NA 0 NA 0 NA
21150397680 1 52 3 15 15 1504 1500002021 1502385 150940221 1 2 4 2 1 NA 7 NA 1 1 2021 12 1 1500013 "minas gerais" uba NA NA 0 NA 0 NA
21150394783 2 40 3 15 15 1502 1500002021 1503774 150492421 1 5 4 2 3 NA 6 NA 5 1 2021 12 1 1500020 "rio grande do norte" natal 2408102 RN 2 2018 1 3
21150360077 1 24 3 15 15 1504 1500002021 1505274 150422821 1 5 3 3 2 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150197051 2 17 2 15 15 1501 1500002021 1502437 151158421 1 5 2 2 2 NA 5 NA 1 1 2021 9 1 1500014 para belem NA NA 0 NA 0 NA
21150238428 1 35 3 15 15 1504 1500002021 1505274 151072021 1 5 3 2 3 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150099980 1 36 2 15 15 1504 1500002021 1503661 151335521 1 3 4 4 3 NA 1 NA 1 1 2021 9 1 1500019 "rio de janeiro" "rio de janeiro" 3304557 RJ 3 2011 1 10
21150391174 1 33 2 15 15 1504 1500002021 1503661 150475321 1 2 4 3 3 NA 5 NA 4 2 2021 9 1 1500019 "rio de janeiro" "rio de janeiro" 3304557 RJ 3 2011 1 10
21150201931 1 39 2 15 15 1504 1500002021 1505199 150875721 1 4 4 4 2 NA 1 NA 1 1 2021 9 1 1500025 "sao paulo" "ribeirao preto" NA NA 0 NA 0 NA
21150017705 2 47 3 15 15 1504 1500002021 1500874 150539721 1 5 4 4 3 NA 5 NA 1 2 2021 12 1 1500008 "espirito santo" serra NA NA 0 NA 0 NA
21150076392 1 27 2 15 15 1502 1500002021 1500210 150288421 1 5 4 4 3 NA 1 NA 5 1 2021 9 1 1500005 bahia alagoinhas NA NA 0 NA 0 NA
21150201895 2 35 3 15 15 1504 1500002021 1505274 150317821 1 5 3 2 2 NA 6 NA 5 3 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150166753 2 37 2 15 15 1501 1500002021 1500178 151120621 1 5 3 NA 3 NA 5 NA 5 1 2021 9 1 1500004 amazonas manaus NA NA 0 NA 0 NA
21150165103 2 42 3 15 15 1504 1500002021 1505145 150140821 1 3 4 NA 3 NA 1 NA 5 2 2021 12 1 1500025 "sao paulo" piracicaba NA NA 0 NA 0 NA
21150301947 1 38 2 15 15 1501 1500002021 1502531 150014721 4 5 1 1 3 NA 1 NA 1 1 2021 9 2 1500014 para santarem NA NA 0 NA 0 NA
21150381476 1 60 3 15 15 1504 1500002021 1505274 150770621 1 3 2 2 2 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150321274 1 43 2 15 15 1504 1500002021 1504968 150275121 1 1 4 3 2 NA 5 NA 1 3 2021 9 1 1500025 "sao paulo" itapeva NA NA 0 NA 0 NA
21150219513 1 30 3 15 15 1503 1500002021 1501108 150035321 1 2 4 3 3 NA 2 NA 5 1 2021 12 1 1500009 goias silvania 5220603 GO 2 2020 1 1
21150136806 1 29 3 15 15 1504 1500002021 1500882 151068821 1 1 3 2 1 NA 7 NA 1 1 2021 12 1 1500008 "espirito santo" vitoria NA NA 0 NA 0 NA
21150078500 2 24 3 15 15 1504 1500002021 1505274 150045921 1 5 2 1 3 NA 7 NA 4 1 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150299222 1 40 2 15 15 1504 1500002021 1505274 150977921 1 3 4 3 2 NA 7 NA 1 1 2021 9 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150130889 1 42 1 15 15 1505 1500002021 1503910 151230621 1 5 1 1 3 NA 1 NA NA 1 2021 6 1 1500021 "rio grande do sul" butia NA NA 0 NA 0 NA
21150259672 2 39 3 15 15 1505 1500002021 1503113 150008921 2 1 4 4 2 NA 5 NA 1 1 2021 12 1 1500016 parana "santa maria do oeste" NA NA 0 NA 0 NA
21150051915 1 35 1 15 15 1504 1500002021 1505274 151165621 1 3 2 2 3 NA 5 NA 5 1 2021 6 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150307661 1 47 2 15 15 1503 1500002021 1500977 150682821 1 1 3 3 3 NA 5 NA 1 2 2021 9 1 1500009 goias goiania 5208707 GO 2 2020 1 1
21150193961 1 34 3 15 15 1504 1500002021 1505345 151097021 2 3 3 2 1 NA 7 NA 1 2 2021 12 1 1500025 "sao paulo" "vargem grande paulista" NA NA 0 NA 0 NA
21150101009 1 31 2 15 15 1505 1500002021 1504205 150809121 3 2 3 2 2 NA 4 NA 1 1 2021 9 2 1500021 "rio grande do sul" "rosario do sul" NA NA 0 NA 0 NA
21150019669 1 32 3 15 15 1504 1500002021 1504820 150439321 1 5 2 2 3 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" campinas 3509502 SP 2 2015 1 6
