vars n mean sd median trimmed mad min max range skew kurtosis se
1 4318 2.794349235757295 0.9610653161430247 3 2.8677662037037037 1.4826 1 4 3 -0.27665373610048194 -0.9319747260967075 0.014625529066831615
2 4318 38.08638258452987 15.287688095189553 36 36.92824074074074 16.3086 16 91 75 0.5971822918119055 -0.3063471401684277 0.23264862735674455
3 4302 2.0604370060437005 0.7766480146579177 2 2.0755374782103426 1.4826 1 3 2 -0.10485819947799824 -1.3361944452293504 0.011841017783758978
4 4299 9.575250058153058 3.639796277204312 11 9.716070909619297 2.9652 0 17 17 -0.46942790251503225 0.05028298639525142 0.05551282821291738
5 4318 0.5597498842056507 1.3405599155432069 0 0.18113425925925924 0 0 6 6 2.7387367187996627 6.8285194698010425 0.02040069252451173
6 4300 3.038139534883721 1.2827469213265907 3 3.047674418604651 1.4826 1 5 4 0.22966154911712028 -1.0051532364054592 0.019561707160085522
7 4288 5.157416044776119 1.8385210338032325 5.5 5.400058275058275 2.2239 1 7 6 -0.7589740753049155 -0.44240552284821355 0.028076386642140096
