id gender age edu country_id nationality city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
14150840 2 43 8 15 15 1502103 2 2 3 4 4 1 5 1 9 5 5 2014 1515 para cameta NA NA 0 NA 0 NA
14150634 1 56 0 15 15 1568002 2 10 2 1 1 1 1 4 5 1 2 2014 1531 "minas gerais" taiobeiras NA NA 0 NA 0 NA
14150557 2 20 11 15 15 1502103 2 1 3 3 3 1 3 4 1 5 1 2014 1515 para cameta NA NA 0 NA 0 NA
14150841 1 24 7 15 15 1502103 2 8 2 2 2 2 1 6 4 5 2 2014 1515 para cameta NA NA 0 NA 0 NA
14150559 1 40 4 15 15 1502103 2 1 3 2 3 1 1 6 4 5 2 2014 1515 para cameta NA NA 0 NA 0 NA
14151385 1 57 8 15 15 1509904 2 6 1 3 2 2 1 5 1 1 2 2014 1523 ceara pacuja NA NA 0 NA 0 NA
14150556 1 59 1 15 15 1502103 2 2 3 3 3 1 1 4 2 5 2 2014 1515 para cameta NA NA 0 NA 0 NA
14150837 1 26 8 15 15 1502103 2 6 1 4 3 1 1 3 3 1 5 2014 1515 para cameta NA NA 0 NA 0 NA
14151200 2 63 2 15 15 1512902 2 8 2 3 3 2 5 6 3 5 2 2014 1521 maranhao "vitoria do mearim" NA NA 0 NA 0 NA
14151202 2 20 8 15 15 1512902 2 8 2 3 3 2 5 6 1 5 4 2014 1521 maranhao "vitoria do mearim" NA NA 0 NA 0 NA
14150272 2 31 5 15 15 1501102 2 6 3 3 3 2 5 6 2 3 2 2014 1550 "mato grosso do sul" aquidauana NA NA 0 NA 0 NA
14150212 2 48 0 15 15 1500601 2 NA 3 4 4 2 5 5 3 5 2 2014 1525 paraiba alhandra NA NA 0 NA 0 NA
14151085 1 34 11 15 15 1512604 2 4 2 1 1 2 1 7 2 5 2 2014 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
