id gender age edu country_id city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
1478 1 51 11 15 154302808 2 9 2 3 2 3 1 1 16 1 2 2012 1543 "rio grande do sul" "cacapava do sul" NA NA 0 NA 0 NA
961 2 23 11 15 153501301 2 8 4 3 2 1 1 4 16 1 4 2012 1535 "sao paulo" "alvares machado" NA NA 0 NA 0 NA
1259 1 37 15 15 154322608 2 6 2 2 2 1 1 5 16 1 4 2012 1543 "rio grande do sul" "venancio aires" NA NA 0 NA 0 NA
1176 1 34 11 15 153501301 2 6 2 2 2 2 1 3 16 1 2 2012 1535 "sao paulo" "alvares machado" NA NA 0 NA 0 NA
1175 1 21 11 15 153501301 2 5 2 3 2 1 1 6 NA 1 3 2012 1535 "sao paulo" "alvares machado" NA NA 0 NA 0 NA
962 1 30 15 15 153501301 2 NA 3 4 4 2 1 4 16 1 2 2012 1535 "sao paulo" "alvares machado" NA NA 0 NA 0 NA
1079 2 28 11 15 155215231 1 6 4 3 3 2 1 3 NA 1506 2 2012 1552 goias "novo gama" NA NA 0 NA 0 NA
1142 2 44 5 15 152105302 1 10 2 3 2 2 5 7 16 4 1 2012 1521 maranhao imperatriz NA NA 0 NA 0 NA
1099 2 53 13 15 153170800 1 NA 3 2 1 2 1 6 13 5 1 2012 1531 "minas gerais" "varzea da palma" NA NA 0 NA 0 NA
1353 2 52 11 15 154100707 1 NA 3 4 NA 2 5 6 12 5 4 2012 1541 parana "alto piquiri" NA NA 0 NA 0 NA
622 2 48 7 15 155103403 1 6 3 3 3 2 1 6 16 5 1 2012 1551 "mato grosso" cuiaba NA NA 0 NA 0 NA
983 2 56 8 15 153167707 1 8 2 2 2 2 1 5 10 3 2 2012 1531 "minas gerais" sobralia NA NA 0 NA 0 NA
1471 2 39 8 15 153550308 1 6 3 3 3 2 5 4 16 1 3 2012 1535 "sao paulo" "sao paulo" NA NA 0 NA 0 NA
