id gender age edre country_id nationality area city_level area_city city_id sample_id urban_rural living_cluster political_stance presidential_approval_rating env_attitude china_attitude russia_attitude america_attitude pe_fina ocupoit ing4 cp13 fam_fina etid news_read smedia3n smedia3b year edu state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
5970 1 23 4 15 15 1503 1 1503 155300108 115 1 216 10 5 4 4 4 3 2 6 4 4 1503 5 3 1 1 2023 12 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
1621 2 24 6 15 15 1503 1 1503 155300108 115 1 216 7 1 1 3 3 2 2 2 5 4 1510 4 2 1 1 2023 16 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
9964 1 68 1 15 15 1503 1 1503 155300108 116 1 64 10 3 1 4 4 3 3 NA 7 4 1507 4 1 NA NA 2023 3 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
380 1 68 6 15 15 1503 1 1503 155300108 115 1 216 10 2 1 3 3 1 2 NA 7 4 1515 1 1 1 3 2023 16 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
8097 2 17 4 15 15 1503 1 1503 155300108 115 1 240 5 2 3 2 2 2 2 NA 4 4 NA 1 2 1 2 2023 12 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
8818 2 46 1 15 15 1503 1 1503 155300108 116 1 64 1 3 1 4 4 4 3 NA 7 4 1501 5 1 2 NA 2023 3 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
9205 2 30 4 15 15 1503 1 1503 155300108 115 1 240 NA 3 1 4 NA 2 2 NA 2 4 1503 5 2 2 NA 2023 12 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
1637 2 30 3 15 15 1503 1 1503 155300108 41 1 247 6 1 1 4 4 4 1 NA 7 3 1503 5 2 5 NA 2023 9 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
1666 2 18 4 15 15 1503 1 1503 155300108 116 1 192 8 2 1 2 4 2 2 NA 3 4 1503 5 4 2 NA 2023 12 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
5490 1 30 2 15 15 1503 1 1503 155300108 41 1 247 10 1 3 1 2 1 2 3 6 4 1507 5 1 2 NA 2023 6 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
7867 2 34 5 15 15 1503 1 1503 155300108 116 1 64 10 5 1 4 4 NA 2 5 7 4 1512 1 1 3 NA 2023 14 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
8804 1 44 6 15 15 1503 1 1503 155300108 115 1 216 10 5 1 4 4 4 3 3 7 3 1511 5 2 1 2 2023 16 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
252 1 24 4 15 15 1503 1 1503 155300108 116 1 192 3 2 1 3 3 3 2 4 7 4 1512 4 3 3 NA 2023 12 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
4816 2 41 6 15 15 1503 1 1503 155300108 116 1 192 9 4 1 3 4 2 3 2 6 4 1508 5 3 5 NA 2023 16 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
4760 2 19 4 15 15 1503 1 1503 155300108 116 1 192 10 5 4 4 4 4 3 NA 2 1 1510 1 2 1 2 2023 12 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
1488 1 52 5 15 15 1503 1 1503 155300108 116 1 192 5 3 2 2 2 2 1 4 7 3 1505 5 1 2 NA 2023 14 1553 "distrito federal" brasilia 5300108 DF 6 2011 1 12
1675 2 25 6 15 15 1502 2 1502 152611101 11 2 113 8 2 1 3 4 3 1 NA 7 3 1503 1 1 1 2 2023 16 1526 pernambuco petrolina NA NA 0 NA 0 NA
7691 2 50 3 15 15 1502 3 1502 152612604 88 2 141 10 5 4 4 4 2 1 NA 2 3 1502 5 2 NA NA 2023 9 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
2554 1 47 3 15 15 1502 3 1502 152612604 88 2 99 8 2 1 3 NA 3 1 6 6 4 1504 1506 2 NA NA 2023 9 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
2739 1 38 5 15 15 1502 1 1502 152507507 70 1 139 7 3 1 4 4 4 2 4 7 4 1509 1 1 1 1 2023 14 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
8651 2 24 3 15 15 1502 1 1502 152507507 70 1 234 4 2 2 2 2 4 1 NA 3 4 1502 5 5 5 NA 2023 9 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
8351 2 32 6 15 15 1502 3 1502 152612604 88 2 141 9 5 1 4 4 4 1 NA 1 4 NA 5 2 2 NA 2023 16 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
9666 1 25 4 15 15 1502 1 1502 152507507 70 1 234 3 4 1 4 NA NA 2 5 3 4 1505 5 1 NA NA 2023 12 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
4876 1 27 6 15 15 1502 3 1502 152612604 88 2 99 2 2 1 3 3 4 1 2 7 3 1512 4 1 1 2 2023 16 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
3508 1 52 2 15 15 1502 1 1502 152507507 70 1 234 8 2 1 1 3 1 1 NA 7 4 1511 3 1 2 NA 2023 6 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
2521 1 31 1 15 15 1502 2 1502 152611101 11 2 113 7 2 1 3 3 NA 1 6 2 4 1503 1 2 NA NA 2023 3 1526 pernambuco petrolina NA NA 0 NA 0 NA
1830 2 48 2 15 15 1502 1 1502 152507507 70 1 139 NA 2 1 4 4 3 3 NA 6 4 1509 4 1 2 NA 2023 6 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
8010 2 18 4 15 15 1502 1 1502 152507507 70 1 234 4 3 1 3 3 3 2 NA 7 3 1503 1 2 4 NA 2023 12 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
2800 1 16 3 15 15 1502 1 1502 152507507 70 1 234 1 3 1 2 NA 2 3 NA 5 3 1502 5 1 3 NA 2023 9 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
5133 2 40 4 15 15 1502 1 1502 152507507 70 1 139 8 2 1 3 NA NA 2 NA 3 4 1503 5 1 5 NA 2023 12 1525 paraiba "joao pessoa" NA NA 0 NA 0 NA
9716 1 50 4 15 15 1502 2 1502 152611101 11 2 113 10 5 4 4 4 4 3 NA 7 4 1502 5 5 NA NA 2023 12 1526 pernambuco petrolina NA NA 0 NA 0 NA
5782 2 30 1 15 15 1503 2 1503 155215231 118 1 239 1 2 1 4 4 3 3 6 7 4 1503 4 1 1 3 2023 3 1552 goias "novo gama" 5215231 GO 3 2017 1 6
6243 1 41 2 15 15 1503 2 1503 155215231 118 1 239 10 5 1 4 4 4 3 8 7 4 1515 5 1 NA NA 2023 6 1552 goias "novo gama" 5215231 GO 3 2017 1 6
9224 2 53 4 15 15 1501 1 1501 151501402 102 1 22 1 3 1 4 2 3 2 NA 7 3 1504 5 1 1 1 2023 12 1515 para belem NA NA 0 NA 0 NA
2067 2 20 4 15 15 1501 1 1501 151501402 102 1 22 5 3 1 4 4 4 2 NA 3 4 1506 5 1 1 2 2023 12 1515 para belem NA NA 0 NA 0 NA
2217 1 30 4 15 15 1501 1 1501 151501402 102 1 22 10 5 1 3 2 2 3 NA 7 3 1508 4 1 2 NA 2023 12 1515 para belem NA NA 0 NA 0 NA
9991 1 16 4 15 15 1501 1 1501 151501402 102 1 22 7 3 2 2 NA 3 3 NA 6 2 1501 5 3 2 NA 2023 12 1515 para belem NA NA 0 NA 0 NA
7560 1 48 6 15 15 1502 3 1502 152708907 57 1 3 3 2 1 4 4 3 1 3 6 4 1508 1506 1 2 NA 2023 16 1527 alagoas satuba NA NA 0 NA 0 NA
