id gender age edu country_id nationality city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
18151635 1 29 11 15 15 151200401 1 8 2 1 1 1 7 7 9 5 1 2019 1512 acre "rio branco" NA NA 0 NA 0 NA
18151167 1 16 4 15 15 151301308 2 10 2 3 3 1 2 1 3 5 2 2019 1513 amazonas codajas NA NA 0 NA 0 NA
18150655 1 29 11 15 15 151100452 1 5 2 3 4 2 1 5 13 5 1 2019 1511 rondonia buritis NA NA 0 NA 0 NA
18151677 2 48 8 15 15 151302603 1 10 2 4 4 3 3 7 6 4 1 2019 1513 amazonas manaus NA NA 0 NA 0 NA
18151340 2 20 11 15 15 151302553 2 3 3 2 NA 3 2 3 3 5 2 2019 1513 amazonas manaquiri NA NA 0 NA 0 NA
18151446 1 32 11 15 15 151501402 1 5 3 3 3 2 1 7 3 4 1 2019 1515 para belem NA NA 0 NA 0 NA
18150845 1 33 17 15 15 151301902 1 6 3 3 NA 2 2 5 14 5 1 2019 1513 amazonas itacoatiara NA NA 0 NA 0 NA
18150826 1 47 7 15 15 151200401 1 5 3 2 2 3 2 7 8 3 1 2019 1512 acre "rio branco" NA NA 0 NA 0 NA
18150554 1 45 11 15 15 151302603 1 7 3 4 3 2 6 3 8 5 1 2019 1513 amazonas manaus NA NA 0 NA 0 NA
18151629 1 49 17 15 15 151100205 1 6 2 3 3 2 1 4 13 1 2 2019 1511 rondonia "porto velho" NA NA 0 NA 0 NA
18151202 1 30 11 15 15 151200401 1 10 1 2 1 1 1 5 6 5 2 2019 1512 acre "rio branco" NA NA 0 NA 0 NA
18151803 1 16 7 15 15 151302603 1 10 2 3 1 1 4 7 1 5 1 2019 1513 amazonas manaus NA NA 0 NA 0 NA
18151067 2 16 8 15 15 151302603 1 10 2 1 1 2 4 6 4 5 1 2019 1513 amazonas manaus NA NA 0 NA 0 NA
